location,latitude,longitude,pagenumber,map_order,pagenumber_first,pagenumber_last,loc_name_shelley,loc_name_18c,loc_name_modern,loc_type,action_emotive_victor,action_emotive_creature,action_emotive_walton,action_emotive_clerval,action_emotive_alphonse,action_emotive_caroline,action_emotive_elizabeth,action_emotive_william,action_emotive_justine,action_emotive_felix,action_emotive_safie,action_emotive_agatha,action_emotive_delacey,action_emotive_waldman,action_emotive_krempe,action_emotive_kirwin,action_emotive_ernest,action_physical_victor,action_physical_creature,action_physical_walton,action_physical_clerval,action_physical_alphonse,action_physical_caroline,action_physical_elizabeth,action_physical_william,action_physical_justine,action_physical_felix,action_physical_safie,action_physical_agatha,action_physical_waldman,action_physical_krempe,action_physical_kirwin,action_physical_ernest,nature_setting,nature_loc,nature_aesthetic,nature_weather,nature_time,nature_topography,name_narrator,name_actant1,name_actant2,name_actant3,name_actant4,name_actant5,name_ref1,name_ref2,name_ref3,name_ref4,name_ref5,name_book1,name_book2,name_book3,name_book4,name_book5,extract,,,,,,
111Rhinech17,49.900692,8.348458,111,,110,112,the Rhine,le Rhin,the Rhine,loc_path,contentment,,,happiness,,,,,,,,,,,,,,action_phyiscal_travelling,,,action_physical_travelling,,,,,,,,,,,,,nature_setting_wilderness,nature_loc_exterior,nature_aesthetic_beautiful,nature_weather_clear,nature_time_day,nature_river,Victor,Victor,Clerval,,,,,,,,,,,,,,"“We staid a day at Manheim, and, on the fifth from our departure from Strasburgh, arrived at Mayence. The course of the Rhine below Mayence becomes much more picturesque.”",,,,,,
111LakeLucernech17,47.013639,8.437161,111,,110,112,Lake Lucerne,lac des Quatre-Cantons,lac des Quatre-Cantons,loc_projected,contentment,,,enthusiasm,,,,,,,,,,,,,,action_phyiscal_travelling,,,action_phyiscal_travelling,,,,,,,,,,,,,nature_setting_wilderness,nature_loc_exterior,nature_aesthetic_beautiful,nature_weather_na,nature_time_day,nature_river,Victor,Victor,Clerval,,,,,,,,,,,,,,"“’I have seen,’ he said, ‘the most beautiful scenes of my own country; I have visited the lakes of Lucerne and Uri… I have seen the mountains of La Valais and the Pays de Vaud: but this country, Victor, pleases me more than all those wonders. The mountains of Switzerland are more majestic and strange; but these is a charm in the banks of this divine river, that I never before saw equaled.’”",,,,,,
111LakeUrich17,46.773864,8.602517,111,,110,112,Lake Uri,Uri,Canton of Uri,loc_projected,contentment,,,enthusiasm,,,,,,,,,,,,,,action_phyiscal_travelling,,,action_phyiscal_travelling,,,,,,,,,,,,,nature_setting_wilderness,nature_loc_exterior,nature_aesthetic_beautiful,nature_weather_na,nature_time_day,nature_river,Victor,Victor,Clerval,,,,,,,,,,,,,,"“’I have seen,’ he said, ‘the most beautiful scenes of my own country; I have visited the lakes of Lucerne and Uri… I have seen the mountains of La Valais and the Pays de Vaud: but this country, Victor, pleases me more than all those wonders. The mountains of Switzerland are more majestic and strange; but these is a charm in the banks of this divine river, that I never before saw equaled.’”",,,,,,
111PaysdeVaudch17,46.561314,6.536764,111,,110,112,Pays de Vaud,Vaud,Canton of Vaud,loc_projected,contentment,,,enthusiasm,,,,,,,,,,,,,,action_phyiscal_travelling,,,action_phyiscal_travelling,,,,,,,,,,,,,nature_setting_wilderness,nature_loc_exterior,nature_aesthetic_beautiful,nature_weather_na,nature_time_day,nature_mountain,Victor,Victor,Clerval,,,,,,,,,,,,,,"“’I have seen,’ he said, ‘the most beautiful scenes of my own country; I have visited the lakes of Lucerne and Uri… I have seen the mountains of La Valais and the Pays de Vaud: but this country, Victor, pleases me more than all those wonders. The mountains of Switzerland are more majestic and strange; but these is a charm in the banks of this divine river, that I never before saw equaled.’”",,,,,,
111Fairy-landch17,,,111,,110,112,Fairy-land,,La La Land,loc_imaginary,contentment,,,enthusiasm,,,,,,,,,,,,,,action_phyiscal_travelling,,,action_phyiscal_travelling,,,,,,,,,,,,,,,,,,,Victor,Victor,Clerval,,,,,,,,,,,,,,"""He felt as if he had been transported to Fairy-land, and enjoyed a happiness seldom tasted by man.""",,,,,,
112Greenwichch17,51.482578,0.007658,112,,110,112,Greenwich,Greenwich,Greenwich,loc_path,sadness,,,enthusiasm,,,,,,,,,,,,,,action_phyiscal_travelling,,,action_phyiscal_travelling,,,,,,,,,,,,,nature_setting_city,nature_loc_exterior,nature_aesthetic_na,nature_weather_clear,nature_time_day,nature_river,Victor,Victor,Clerval,,,,,,,,,,,,,,"“Our journey here lost the interest arising from beautiful scenery; but we arrived in a few days at Rotterdam, whence we proceeded by sea to England. It was on a clear morning, in the latter days of December, that I first saw the white cliffs of Britain. The banks of the Thames presented a new scene; they were flat, but fertile, and almost every town was marked by the remembrance of some story. We saw Tilbury Fort, and remembered the Spanish armada; Gravesend, Woolwich, and Greenwich, places which I had heard of even in my country. At length we saw the numerous steeples of London, St. Paul’s towering above all, and the Tower famed in English history.”",,,,,,
112Woolwichch17,51.489475,0.067589,112,,110,112,Woolwich,Woolwich,Woolwich,loc_path,sadness,,,enthusiasm,,,,,,,,,,,,,,action_phyiscal_travelling,,,action_phyiscal_travelling,,,,,,,,,,,,,nature_setting_city,nature_loc_exterior,nature_aesthetic_na,nature_weather_clear,nature_time_day,nature_river,Victor,Victor,Clerval,,,,,,,,,,,,,,"“Our journey here lost the interest arising from beautiful scenery; but we arrived in a few days at Rotterdam, whence we proceeded by sea to England. It was on a clear morning, in the latter days of December, that I first saw the white cliffs of Britain. The banks of the Thames presented a new scene; they were flat, but fertile, and almost every town was marked by the remembrance of some story. We saw Tilbury Fort, and remembered the Spanish armada; Gravesend, Woolwich, and Greenwich, places which I had heard of even in my country. At length we saw the numerous steeples of London, St. Paul’s towering above all, and the Tower famed in English history.”",,,,,,
112TheTowerch17,51.508111,-0.07595,112,,110,112,the Tower,The Tower of London,Her Majesty's Royal Palace and Fortress of the Tower of London,loc_path,sadness,,,enthusiasm,,,,,,,,,,,,,,action_phyiscal_travelling,,,action_phyiscal_travelling,,,,,,,,,,,,,nature_setting_city,nature_loc_exterior,nature_aesthetic_na,nature_weather_clear,nature_time_day,nature_river,Victor,Victor,Clerval,,,,,,,,,,,,,,"“Our journey here lost the interest arising from beautiful scenery; but we arrived in a few days at Rotterdam, whence we proceeded by sea to England. It was on a clear morning, in the latter days of December, that I first saw the white cliffs of Britain. The banks of the Thames presented a new scene; they were flat, but fertile, and almost every town was marked by the remembrance of some story. We saw Tilbury Fort, and remembered the Spanish armada; Gravesend, Woolwich, and Greenwich, places which I had heard of even in my country. At length we saw the numerous steeples of London, St. Paul’s towering above all, and the Tower famed in English history.”",,,,,,
112StPaulsch17,51.513844,-0.09835,112,,110,112,St. Paul's Cathedral,St. Paul's Cathedral,St. Paul's Cathedral,loc_path,sadness,,,enthusiasm,,,,,,,,,,,,,,action_phyiscal_travelling,,,action_phyiscal_travelling,,,,,,,,,,,,,nature_setting_city,nature_loc_exterior,nature_aesthetic_na,nature_weather_clear,nature_time_day,nature_river,Victor,Victor,Clerval,,,,,,,,,,,,,,"“Our journey here lost the interest arising from beautiful scenery; but we arrived in a few days at Rotterdam, whence we proceeded by sea to England. It was on a clear morning, in the latter days of December, that I first saw the white cliffs of Britain. The banks of the Thames presented a new scene; they were flat, but fertile, and almost every town was marked by the remembrance of some story. We saw Tilbury Fort, and remembered the Spanish armada; Gravesend, Woolwich, and Greenwich, places which I had heard of even in my country. At length we saw the numerous steeples of London, St. Paul’s towering above all, and the Tower famed in English history.”",,,,,,
112Englandch17,51.50735,0.127758,112,,110,112,England,England,England,loc_path,sadness,,,enthusiasm,,,,,,,,,,,,,,action_phyiscal_travelling,,,action_phyiscal_travelling,,,,,,,,,,,,,nature_setting_wilderness,nature_loc_exterior,nature_aesthetic_na,nature_weather_clear,nature_time_day,nature_sea,Victor,Clerval,Clerval,,,,,,,,,,,,,,"“Our journey here lost the interest arising from beautiful scenery; but we arrived in a few days at Rotterdam, whence we proceeded by sea to England. It was on a clear morning, in the latter days of December, that I first saw the white cliffs of Britain. The banks of the Thames presented a new scene; they were flat, but fertile, and almost every town was marked by the remembrance of some story. We saw Tillbury Fort, and remembered the Spanish armada; Gravesend, Woolwich, and Greenwich, places which I had heard of even in my country. At length we saw the numerous steeples of London, St. Paul’s towering above all, and the Tower famed in English history.”",,,,,,
112Londonch17,51.50735,0.127758,112,,110,112,London,London,London,loc_path,sadness,,,enthusiasm,,,,,,,,,,,,,,action_phyiscal_travelling,,,action_phyiscal_travelling,,,,,,,,,,,,,nature_setting_city,nature_loc_exterior,nature_aesthetic_na,nature_weather_clear,nature_time_day,nature_river,Victor,Victor,Clerval,,,,,,,,,,,,,,"“Our journey here lost the interest arising from beautiful scenery; but we arrived in a few days at Rotterdam, whence we proceeded by sea to England. It was on a clear morning, in the latter days of December, that I first saw the white cliffs of Britain. The banks of the Thames presented a new scene; they were flat, but fertile, and almost every town was marked by the remembrance of some story. We saw Tilbury Fort, and remembered the Spanish armada; Gravesend, Woolwich, and Greenwich, places which I had heard of even in my country. At length we saw the numerous steeples of London, St. Paul’s towering above all, and the Tower famed in English history.”",,,,,,
112Gravesendch17,51.441883,0.370758,112,,110,112,Gravesend,Gravesend,Gravesend,loc_path,sadness,,,enthusiasm,,,,,,,,,,,,,,action_phyiscal_travelling,,,action_phyiscal_travelling,,,,,,,,,,,,,nature_setting_village,nature_loc_exterior,nature_aesthetic_na,nature_weather_clear,nature_time_day,nature_river,Victor,Victor,Clerval,,,,,,,,,,,,,,"“Our journey here lost the interest arising from beautiful scenery; but we arrived in a few days at Rotterdam, whence we proceeded by sea to England. It was on a clear morning, in the latter days of December, that I first saw the white cliffs of Britain. The banks of the Thames presented a new scene; they were flat, but fertile, and almost every town was marked by the remembrance of some story. We saw Tilbury Fort, and remembered the Spanish armada; Gravesend, Woolwich, and Greenwich, places which I had heard of even in my country. At length we saw the numerous steeples of London, St. Paul’s towering above all, and the Tower famed in English history.”",,,,,,
112TilburyFort,51.458794,0.374318,112,,110,112,Tilbury Fort,West Tilbury Blockhouse,Tilbury Fort,loc_path,sadness,,,enthusiasm,,,,,,,,,,,,,,action_phyiscal_travelling,,,action_phyiscal_travelling,,,,,,,,,,,,,nature_setting_village,nature_loc_exterior,nature_aesthetic_na,nature_weather_clear,nature_time_day,nature_river,Victor,Victor,Clerval,,,,,,,,,,,,,,"“Our journey here lost the interest arising from beautiful scenery; but we arrived in a few days at Rotterdam, whence we proceeded by sea to England. It was on a clear morning, in the latter days of December, that I first saw the white cliffs of Britain. The banks of the Thames presented a new scene; they were flat, but fertile, and almost every town was marked by the remembrance of some story. We saw Tilbury Fort, and remembered the Spanish armada; Gravesend, Woolwich, and Greenwich, places which I had heard of even in my country. At length we saw the numerous steeples of London, St. Paul’s towering above all, and the Tower famed in English history.”",,,,,,
112WhiteCliffsch17,51.132217,1.345015,112,,110,112,white cliffs of Great Britain,white cliffs,White Cliffs of Dover,loc_path,sadness,,,enthusiasm,,,,,,,,,,,,,,action_phyiscal_travelling,,,action_phyiscal_travelling,,,,,,,,,,,,,nature_setting_ship,nature_loc_exterior,nature_aesthetic_na,nature_weather_clear,nature_time_day,nature_sea,Victor,Victor,Clerval,,,,,,,,,,,,,,"“Our journey here lost the interest arising from beautiful scenery; but we arrived in a few days at Rotterdam, whence we proceeded by sea to England. It was on a clear morning, in the latter days of December, that I first saw the white cliffs of Britain. The banks of the Thames presented a new scene; they were flat, but fertile, and almost every town was marked by the remembrance of some story. We saw Tillbury Fort, and remembered the Spanish armada; Gravesend, Woolwich, and Greenwich, places which I had heard of even in my country. At length we saw the numerous steeples of London, St. Paul’s towering above all, and the Tower famed in English history.”",,,,,,
112Rotterdamch17,51.924419,4.477733,112,,110,112,Rotterdam,Rotterdam,Rotterdam,loc_path,sadness,,,enthusiasm,,,,,,,,,,,,,,action_phyiscal_travelling,,,action_phyiscal_travelling,,,,,,,,,,,,,nature_setting_city,nature_loc_exterior,nature_aesthetic_na,nature_weather_na,nature_time_day,nature_sea,Victor,Victor,Clerval,,,,,,,,,,,,,,"“Our journey here lost the interest arising from beautiful scenery; but we arrived in a few days at Rotterdam, whence we proceeded by sea to England. It was on a clear morning, in the latter days of December, that I first saw the white cliffs of Britain. The banks of the Thames presented a new scene; they were flat, but fertile, and almost every town was marked by the remembrance of some story. We saw Tillbury Fort, and remembered the Spanish armada; Gravesend, Woolwich, and Greenwich, places which I had heard of even in my country. At length we saw the numerous steeples of London, St. Paul’s towering above all, and the Tower famed in English history.”",,,,,,
112Hollandch17,52.370217,4.895167,112,,110,112,plains of Holland,Nederland,The Netherlands,loc_path,sadness,,,enthusiasm,,,,,,,,,,,,,,action_phyiscal_travelling,,,action_phyiscal_travelling,,,,,,,,,,,,,nature_setting_wilderness,nature_loc_exterior,nature_aesthetic_na,nature_weather_na,nature_time_day,nature_plain,Victor,Victor,Clerval,,,,,,,,,,,,,,"“Beyond Cologne we descended to the plains of Holland; and we resolved to post the remainder of our way; for the wind was contrary, and the stream of the river was too gentle to aid us.”",,,,,,
112Colognech17,50.937531,6.960278,112,,110,112,Cologne,Köln,Köln,loc_path,sadness,,,enthusiasm,,,,,,,,,,,,,,action_phyiscal_travelling,,,action_phyiscal_travelling,,,,,,,,,,,,,nature_setting_city,nature_loc_exterior,nature_aesthetic_na,nature_weather_na,nature_time_day,nature_na,Victor,Victor,Clerval,,,,,,,,,,,,,,"“Beyond Cologne we descended to the plains of Holland; and we resolved to post the remainder of our way; for the wind was contrary, and the stream of the river was too gentle to aid us.”",,,,,,
114Windsor2ch18,51.481728,-0.613575,114,,114,114,Windsor,Windsor,Windsor,loc_path,sadness,,,enthusiasm,,,,,,,,,,,,,,action_phyiscal_travelling,,,action_phyiscal_travelling,,,,,,,,,,,,,nature_setting_wilderness,,nature_aesthetic_beautiful,nature_weather_na,nature_time_day,nature_forest,Victor,Victor,Clerval,,,,,,,,,,,,,,"""We quitted London on the 27th of March, and remained a few days at Windsor, rambling in its beautiful forest.""",,,,,,
114Oxford2ch18,51.752022,-1.257725,114,,114,115,Oxford,Oxford,Oxford,loc_path,contentment,,,enthusiasm,,,,,,,,,,,,,,action_phyiscal_travelling,,,action_phyiscal_travelling,,,,,,,,,,,,,nature_setting_city,nature_loc_exterior,nature_aesthetic_na,nature_weather_na,nature_time_day,nature_na,Victor,Victor,Clerval,,,,,,,,,,,,,,"""From thence we proceeded to Oxford. As we entered this city, our minds were filled with the remembrance of the events that had been transacted here more than a century and a half before.""",,,,,,
115TombofHampdench18,51.714425,-0.773085,115,,114,115,tomb of the illustrious Hampden,John Hampden's tomb,"St. Mary Magdalene Church, Great Hampden",loc_path,pride,,,enthusiasm,,,,,,,,,,,,,,action_phyiscal_travelling,,,action_phyiscal_travelling,,,,,,,,,,,,,nature_setting_village,nature_loc_exterior,nature_aesthetic_beautiful,nature_weather_na,nature_time_day,nature_na,Victor,Victor,Clerval,,,,,,,,,,,,,,"""We visited the tomb of the illustrious Hampden, and the field on which that patriot fell. For a moment my soul was elevated from its debasing and miserable fears...""",,,,,,
115Switzerlandch18,46.204392,6.143158,115,,115,115,Switzerland,Switzerland,Swiss Confederation,loc_projected,longing,,,longing,,,,,,,,,,,,,,action_phyiscal_travelling,,,action_phyiscal_travelling,,,,,,,,,,,,,nature_setting_wilderness,nature_loc_exterior,nature_aesthetic_beautiful,nature_weather_na,nature_time_day,nature_mountain,Victor,Victor,Clerval,,,,,,,,,,,,,,"“We left Oxford with regret, and proceeded to Matlock, which was our next place of rest. The country in the neighborhood of this village resembled, to a greater degree, the scenery of Switzerland; but everything is on a lower scale, and the green hills want the ground of distant white Alps, which always attend on the piny mountains of my native country. We visited the wondrous cave, and then little cabinets of natural history, where the curiosities are disposed in the same manner as in the collections at Servox and Chamounix. The latter name made me tremble, when pronounced by Henry; and I hastened to quit Matlock, with which that terrible scene was thus associated.”",,,,,,
115Chamounixch18,45.923697,6.869433,115,,115,115,Chamounix,Chamounix,Chamonix-Mont-Blanc (Chamonix),loc_projected,longing,,,longing,,,,,,,,,,,,,,action_phyiscal_travelling,,,action_phyiscal_travelling,,,,,,,,,,,,,nature_setting_wilderness,nature_loc_exterior,nature_aesthetic_beautiful,nature_weather_na,nature_time_day,nature_mountain,Victor,Victor,Clerval,,,,,,,,,,,,,,"“We left Oxford with regret, and proceeded to Matlock, which was our next place of rest. The country in the neighborhood of this village resembled, to a greater degree, the scenery of Switzerland; but everything is on a lower scale, and the green hills want the ground of distant white Alps, which always attend on the piny mountains of my native country. We visited the wondrous cave, and then little cabinets of natural history, where the curiosities are disposed in the same manner as in the collections at Servox and Chamounix. The latter name made me tremble, when pronounced by Henry; and I hastened to quit Matlock, with which that terrible scene was thus associated.”",,,,,,
115SwissMountainsch18,45.976575,7.658453,115,,115,116,Swiss Mountains,Swiss Mountains,"Alps, Jura ranges",loc_projected,longing,,,longing,,,,,,,,,,,,,,action_phyiscal_travelling,,,action_phyiscal_travelling,,,,,,,,,,,,,nature_setting_wilderness,nature_loc_exterior,nature_aesthetic_beautiful,nature_weather_na,nature_time_day,nature_mountain,Victor,Victor,Clerval,,,,,,,,,,,,,,"“From Derby still journeying northward, we passed two months in Cumberland and Westmoreland. I could now almost fancy myself among the Swiss mountains.”",,,,,,
115Derbych18,52.922531,-1.474619,115,,115,116,Derby,Derby,Derby,loc_path,fear,,,enthusiasm,,,,,,,,,,,,,,action_phyiscal_travelling,,,action_phyiscal_travelling,,,,,,,,,,,,,nature_setting_city,nature_loc_exterior,nature_aesthetic_na,nature_weather_na,nature_time_day,nature_na,Victor,Victor,Clerval,,,,,,,,,,,,,,"“From Derby still journeying northward, we passed two months in Cumberland and Westmoreland. I could now almost fancy myself among the Swiss mountains.”",,,,,,
115Cumberlandch18,54.577233,-2.797483,115,,115,116,Cumberland,Cumberland,Cumbira,loc_path,fear,,,enthusiasm,,,,,,,,,,,,,,action_phyiscal_travelling,,,action_phyiscal_travelling,,,,,,,,,,,,,nature_setting_wilderness,nature_loc_exterior,nature_aesthetic_na,nature_weather_na,nature_time_day,nature_mountain,Victor,Victor,Clerval,,,,,,,,,,,,,,"“From Derby still journeying northward, we passed two months in Cumberland and Westmoreland. I could now almost fancy myself among the Swiss mountains.”",,,,,,
115Westmorelandch18,54.577233,-2.797483,115,,115,116,Westmoreland,Westmoreland,Cumbria,loc_path,fear,,,enthusiasm,,,,,,,,,,,,,,action_phyiscal_travelling,,,action_phyiscal_travelling,,,,,,,,,,,,,nature_setting_wilderness,nature_loc_exterior,nature_aesthetic_na,nature_weather_na,nature_time_day,nature_mountain,Victor,Victor,Clerval,,,,,,,,,,,,,,"“From Derby still journeying northward, we passed two months in Cumberland and Westmoreland. I could now almost fancy myself among the Swiss mountains.”",,,,,,
